fixture_id,no_draw_home,draw_home,no_draw_away,draw_away
721261,0,0,0,0
721268,0,0,0,0
721266,0,0,0,0
721260,0,0,0,0
721265,0,0,0,0
721267,0,0,0,0
721264,0,0,0,0
721262,0,0,0,0
721270,0,0,0,0
721263,0,0,0,0
721269,0,0,0,0
721280,0,1,0,1
721271,1,0,0,1
721277,0,1,1,0
721279,1,0,1,0
721281,1,0,1,0
721275,0,1,0,1
721272,1,0,1,0
721273,1,0,0,1
721274,1,0,1,0
721278,0,1,1,0
721276,1,0,1,0
721284,0,2,2,0
721286,0,2,2,0
721290,0,1,1,0
721283,0,1,0,2
721287,1,0,0,1
721288,2,0,0,1
721292,2,0,2,0
721289,0,1,2,0
721285,0,2,1,0
721282,0,1,2,0
721291,1,0,2,0
721298,1,0,1,0
721296,3,0,1,0
721295,3,0,0,2
721302,0,2,3,0
721293,3,0,1,0
721297,0,1,1,0
721300,1,0,3,0
721294,1,0,2,0
721303,3,0,2,0
721301,2,0,1,0
721299,3,0,0,1
721313,2,0,0,1
721304,0,1,2,0
721312,1,0,0,1
721306,2,0,0,1
721309,3,0,4,0
721310,1,0,4,0
721314,3,0,1,0
721311,4,0,4,0
721305,0,2,3,0
721308,2,0,2,0
721307,0,1,4,0
721323,5,0,5,0
721318,0,2,2,0
721319,1,0,0,2
721322,0,1,2,0
721316,3,0,4,0
721325,5,0,1,0
721317,5,0,0,3
721320,5,0,3,0
721321,2,0,4,0
721315,1,0,3,0
721324,0,1,0,1
721331,0,1,0,1
721334,6,0,3,0
721326,0,3,0,2
721327,0,2,6,0
721335,1,0,2,0
721329,5,0,2,0
721332,4,0,4,0
721330,0,1,4,0
721328,2,0,0,2
721333,5,0,6,0
721336,0,4,6,0
721344,7,0,6,0
721347,0,1,5,0
721340,1,0,4,0
721345,0,3,0,2
721346,7,0,1,0
721338,0,1,1,0
721343,5,0,1,0
721337,1,0,6,0
721342,1,0,7,0
721341,3,0,0,1
721339,0,1,7,0
721355,0,1,6,0
721350,0,2,1,0
721351,7,0,1,0
721358,8,0,2,0
721352,0,3,0,1
721353,2,0,0,1
721348,8,0,2,0
721357,8,0,2,0
721349,2,0,0,1
